25.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 03월 31일,2024년 12월 31일,25.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 06월 30일,2024년 12월 31일,25.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 09월 30일,2024년 12월 31일,과  목, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 12월 31일,2024년 12월 31일
(3)반품회수자산,"299,784,841",0,0,0,0,0,0,"299,784,841",,,,,"299,784,841","522,813,107",(3)반품회수자산,"500,034,223",0,0,0,0,0,0,"500,034,223",,,,,"500,034,223","522,813,107",(3)반품회수자산,"382,253,185",0,0,0,0,0,0,"382,253,185",,,,,"382,253,185","522,813,107",(3)반품회수자산,"382,253,185",0,0,0,0,0,0,"382,253,185",,,,,"382,253,185","522,813,107"
(4)당기법인세자산,0,"4,889,636,109",0,0,0,"45,388,378","910,708,451","5,845,732,938",,,,,"5,845,732,938","2,662,913,404",(4)당기법인세자산,0,0,0,0,0,"45,372,793","1,776,734,004","1,822,106,797",,,,,"1,822,106,797","2,662,913,404",(4)당기법인세자산,0,0,0,0,0,"65,823,972","1,623,320,079","1,689,144,051",,,,,"1,689,144,051","2,662,913,404",(4)당기법인세자산,0,0,0,0,0,"65,823,972","1,623,320,079","1,689,144,051",,,,,"1,689,144,051","2,662,913,404"
파생상품자산,0,0,0,0,0,0,0,0,,,,,0,0,파생상품자산,"7,820,651,231",0,0,0,0,0,0,"7,820,651,231",,,,,"7,820,651,231",0,파생상품자산,"1,170,430,298",0,0,0,0,0,0,"1,170,430,298",,,,,"1,170,430,298",0,파생상품자산,"1,170,430,298",0,0,0,0,0,0,"1,170,430,298",,,,,"1,170,430,298",0
매각예정비유동자산,0,0,0,0,0,0,0,0,,,,,0,0,매각예정비유동자산,0,0,0,0,0,0,0,0,,,,,0,0,매각예정비유동자산,0,0,0,0,0,0,0,0,,,,,0,0,매각예정비유동자산,0,0,0,0,0,0,0,0,,,,,0,0
Ⅱ.비유동자산,"1,492,196,834,830","69,471,550,833","18,311,009,854","17,841,382",0,"5,189,210,715","71,798,312,431","1,656,984,760,045",,,,,"1,636,519,146,743","1,649,110,888,699",Ⅱ.비유동자산,"1,483,356,444,587","64,553,016,068","15,262,602,634","15,969,424",0,"5,122,862,192","66,122,380,027","1,634,433,274,932",,,,,"1,611,298,882,720","1,649,110,888,699",Ⅱ.비유동자산,"1,480,945,002,521","65,505,440,732","26,190,826,781","16,080,840",0,"5,196,328,296","68,238,789,546","1,646,092,468,716",,,,,"1,639,443,470,696","1,649,110,888,699",Ⅱ.비유동자산,"1,480,945,002,521","65,505,440,732","26,190,826,781","16,080,840",0,"5,196,328,296","68,238,789,546","1,646,092,468,716",,,,,"1,639,443,470,696","1,649,110,888,699"
(1)투자자산,"713,076,306,539",0,0,0,0,0,0,"713,076,306,539",,,,,"662,711,113,123","665,564,420,616",(1)투자자산,"714,228,931,464",0,0,0,0,0,0,"714,228,931,464",,,,,"661,967,049,654","665,564,420,616",(1)투자자산,"720,011,086,303",0,0,0,0,0,0,"720,011,086,303",,,,,"662,247,108,816","665,564,420,616",(1)투자자산,"720,011,086,303",0,0,0,0,0,0,"720,011,086,303",,,,,"662,247,108,816","665,564,420,616"
장기금융상품,"3,000,000",0,0,0,0,0,0,"3,000,000",,,,,"3,000,000","3,000,000",장기금융상품,"3,000,000",0,0,0,0,0,0,"3,000,000",,,,,"3,000,000","3,000,000",장기금융상품,"3,000,000",0,0,0,0,0,0,"3,000,000",,,,,"3,000,000","3,000,000",장기금융상품,"3,000,000",0,0,0,0,0,0,"3,000,000",,,,,"3,000,000","3,000,000"
장기대여금,"39,764,500,000",0,0,0,0,0,0,"39,764,500,000",,"39,764,500,000",,,0,0,장기대여금,"40,833,200,000",0,0,0,0,0,0,"40,833,200,000",,"40,833,200,000",,,0,0,장기대여금,"48,537,400,000",0,0,0,0,0,0,"48,537,400,000",,"48,537,400,000",,,0,0,장기대여금,"48,537,400,000",0,0,0,0,0,0,"48,537,400,000",,"48,537,400,000",,,0,0
장기대여금대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,장기대여금대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,장기대여금대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,장기대여금대손충당금,0,0,0,0,0,0,0,0,,,,,0,0
당기손익-공정가치측정금융자산,"10,963,464,738",0,0,0,0,0,0,"10,963,464,738",,,,,"10,963,464,738","13,087,916,336",당기손익-공정가치측정금융자산,"11,008,967,345",0,0,0,0,0,0,"11,008,967,345",,,,,"11,008,967,345","13,087,916,336",당기손익-공정가치측정금융자산,"9,086,922,184",0,0,0,0,0,0,"9,086,922,184",,,,,"9,086,922,184","13,087,916,336",당기손익-공정가치측정금융자산,"9,086,922,184",0,0,0,0,0,0,"9,086,922,184",,,,,"9,086,922,184","13,087,916,336"
기타포괄손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,,,0,0,기타포괄손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,,,0,0,기타포괄손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,,,0,0,기타포괄손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,,,0,0
상각후원가 금융자산,0,0,0,0,0,0,0,0,,,,,0,0,상각후원가 금융자산,0,0,0,0,0,0,0,0,,,,,0,0,상각후원가 금융자산,0,0,0,0,0,0,0,0,,,,,0,0,상각후원가 금융자산,0,0,0,0,0,0,0,0,,,,,0,0
